appraisal_id,emp_id,review_date,rating,remarks
1,449,2025-06-12,1,Needs Improvement
2,770,2025-01-24,2,Needs Improvement
5,546,2025-01-07,5,Excellent
6,391,2025-11-26,1,Excellent
7,1446,2025-04-23,1,Excellent
9,802,2025-10-18,3,Excellent
10,336,2025-03-28,5,Average
11,387,2025-12-14,5,Good
12,1063,2025-12-21,5,Average
13,1430,2025-08-03,5,Good
14,190,2025-11-01,1,Average
17,859,2025-06-12,5,Needs Improvement
19,1029,2025-02-07,4,Good
20,186,2025-04-24,2,Excellent
22,809,2025-07-18,2,Needs Improvement
23,321,2025-06-05,1,Average
24,98,2025-10-21,4,Average
26,68,2025-07-27,3,Needs Improvement
27,1104,2025-10-02,2,Average
30,606,2025-01-14,1,Average
31,753,2025-10-19,5,Excellent
32,123,2025-04-25,5,Average
33,480,2025-07-10,3,Good
34,68,2025-08-10,5,Excellent
36,662,2025-11-23,5,Average
37,1329,2025-08-01,3,Good
38,1320,2025-10-28,2,Needs Improvement
39,859,2025-12-03,4,Average
41,241,2025-09-21,1,Average
43,909,2025-05-06,1,Good
46,156,2025-10-06,2,Good
52,1275,2025-06-24,3,Good
53,1242,2025-03-11,2,Good
54,165,2025-09-23,1,Average
55,296,2025-11-21,5,Average
56,416,2025-02-08,2,Good
60,1364,2025-04-11,5,Excellent
61,79,2025-08-19,1,Excellent
62,1436,2025-01-24,4,Needs Improvement
67,444,2025-11-12,3,Excellent
69,1249,2025-05-07,5,Good
70,900,2025-10-09,4,Excellent
72,667,2025-02-27,3,Good
73,63,2025-07-12,2,Needs Improvement
75,460,2025-01-29,1,Excellent
77,1381,2025-10-06,2,Excellent
79,344,2025-12-26,4,Good
80,1095,2025-07-29,1,Good
81,1055,2025-03-20,4,Needs Improvement
84,542,2025-09-14,1,Average
85,61,2025-05-13,5,Needs Improvement
86,869,2025-02-14,5,Excellent
88,1072,2025-11-06,1,Average
90,352,2025-04-08,5,Good
93,1031,2025-02-11,3,Good
95,761,2025-06-01,5,Average
97,567,2025-01-01,4,Average
98,1229,2025-06-28,3,Excellent
100,1238,2025-12-01,3,Average
101,694,2025-05-27,1,Good
102,1315,2025-03-12,5,Good
103,23,2025-08-21,5,Excellent
107,499,2025-03-15,3,Needs Improvement
110,809,2025-03-19,2,Needs Improvement
111,87,2025-08-04,3,Average
112,903,2025-06-16,4,Needs Improvement
