attendance_id,emp_id,attendance_date,status
1,1445,2025-04-06,Present
2,1495,2025-02-11,Present
3,151,2025-03-06,Absent
5,861,2025-04-14,Present
7,1367,2025-12-10,Leave
10,597,2025-03-17,Leave
12,1290,2025-11-21,Absent
15,537,2025-04-02,Present
16,1103,2025-05-31,Present
17,932,2025-09-01,Present
18,673,2025-06-29,Present
20,1107,2025-11-05,Absent
21,1175,2025-03-20,Present
22,1110,2025-05-31,Absent
23,933,2025-02-18,Leave
25,616,2025-02-12,Leave
26,1160,2025-11-13,Absent
27,1129,2025-09-11,Absent
28,1376,2025-08-03,Absent
29,28,2025-01-19,Leave
30,1230,2025-01-22,Absent
33,479,2025-11-27,Absent
35,512,2025-09-08,Present
40,118,2025-05-20,Present
41,1196,2025-08-24,Present
46,839,2025-03-26,Leave
47,976,2025-03-02,Absent
48,69,2025-09-08,Leave
49,617,2025-11-29,Absent
50,1254,2025-05-06,Absent
51,604,2025-03-24,Leave
53,520,2025-10-05,Absent
54,1206,2025-05-19,Absent
59,456,2025-06-15,Present
61,1218,2025-12-24,Leave
63,766,2025-07-17,Leave
68,357,2025-11-06,Absent
72,747,2025-04-21,Absent
75,39,2025-06-14,Leave
77,1443,2025-11-21,Absent
79,1139,2025-09-23,Present
81,1245,2025-06-12,Leave
83,280,2025-04-18,Absent
86,238,2025-12-08,Absent
87,712,2025-05-09,Leave
91,495,2025-08-13,Present
92,219,2025-02-09,Leave
95,750,2025-06-08,Absent
98,220,2025-11-10,Absent
99,1194,2025-06-16,Present
101,952,2025-08-18,Leave
102,1418,2025-01-22,Leave
105,1391,2025-09-09,Present
107,1435,2025-04-29,Present
108,953,2025-12-26,Leave
110,527,2025-05-26,Leave
116,1393,2025-06-16,Absent
117,1167,2025-12-19,Leave
118,1152,2025-05-27,Leave
120,261,2025-01-30,Leave
124,680,2025-07-02,Present
129,551,2025-03-04,Leave
130,712,2025-05-10,Present
131,547,2025-10-25,Leave
132,203,2025-10-08,Leave
133,243,2025-03-28,Present
136,600,2025-06-21,Present
140,404,2025-03-26,Absent
142,507,2025-11-01,Present
144,279,2025-11-30,Present
145,711,2025-02-06,Absent
146,111,2025-04-02,Absent
147,284,2025-11-21,Leave
148,1325,2025-07-30,Present
151,989,2025-04-06,Absent
153,551,2025-06-24,Leave
156,388,2025-10-11,Absent
157,535,2025-10-30,Present
164,892,2025-05-16,Absent
165,1103,2025-12-04,Leave
166,198,2025-06-11,Leave
170,442,2025-05-01,Leave
171,844,2025-03-15,Present
172,750,2025-01-02,Absent
174,8,2025-02-22,Leave
175,217,2025-11-11,Leave
177,1040,2025-12-17,Present
179,1196,2025-05-17,Leave
182,1053,2026-01-01,Present
183,1404,2025-04-21,Absent
184,195,2025-05-17,Absent
186,862,2025-08-08,Present
187,1328,2025-09-04,Present
192,747,2025-12-29,Leave
194,244,2025-02-11,Leave
195,808,2025-03-27,Absent
197,844,2025-01-01,Absent
198,1486,2025-09-19,Leave
199,155,2025-05-30,Leave
201,629,2025-03-01,Present
207,249,2025-08-04,Absent
209,1029,2025-10-17,Present
212,516,2025-10-02,Leave
215,732,2025-05-21,Absent
218,300,2025-11-01,Present
219,92,2025-02-25,Leave
220,957,2025-05-18,Leave
221,1157,2025-04-14,Leave
223,41,2025-07-22,Present
225,594,2025-06-09,Leave
227,647,2025-03-29,Present
232,1417,2025-11-09,Present
234,117,2025-06-17,Absent
236,641,2025-09-12,Leave
237,497,2025-05-13,Present
238,1377,2025-11-30,Absent
239,929,2025-09-17,Present
240,2,2025-09-02,Present
241,1069,2025-01-29,Leave
244,1183,2025-06-24,Absent
245,1132,2025-03-24,Absent
254,845,2025-08-26,Absent
255,951,2025-12-08,Absent
256,29,2025-08-07,Absent
258,151,2025-04-19,Absent
259,1120,2025-05-04,Leave
263,761,2025-05-22,Present
267,426,2025-06-04,Absent
269,489,2025-02-16,Leave
271,1484,2025-02-06,Present
272,1012,2025-10-08,Leave
276,915,2025-06-28,Present
277,257,2025-03-06,Leave
278,479,2025-05-02,Present
279,809,2025-09-02,Absent
283,843,2025-04-09,Absent
286,96,2025-12-26,Present
288,1196,2025-05-17,Leave
290,959,2025-05-31,Present
292,1305,2025-01-14,Absent
293,648,2025-04-09,Leave
295,722,2025-08-04,Present
297,1433,2025-03-01,Present
300,1488,2025-07-16,Present
301,1362,2025-06-13,Leave
302,1491,2025-02-13,Present
303,1107,2025-03-10,Leave
306,1406,2025-03-10,Present
310,1041,2025-08-30,Leave
312,1001,2025-01-11,Present
315,186,2025-02-22,Present
316,10,2025-05-11,Absent
317,452,2025-07-04,Present
320,558,2025-04-09,Leave
324,386,2025-09-03,Absent
325,1407,2025-12-29,Present
327,8,2025-02-01,Leave
330,1096,2025-05-08,Present
334,1330,2025-11-03,Leave
343,524,2025-12-04,Absent
345,397,2025-06-14,Present
347,1253,2025-01-17,Absent
348,613,2025-01-04,Leave
353,1201,2025-05-02,Absent
354,698,2025-07-21,Absent
356,515,2025-05-01,Absent
357,276,2025-08-31,Absent
358,466,2025-07-15,Absent
359,929,2025-05-08,Present
363,329,2025-03-07,Leave
365,716,2025-04-16,Leave
366,218,2025-02-22,Leave
368,134,2025-08-13,Absent
370,826,2025-01-15,Present
376,100,2025-04-11,Absent
377,373,2025-10-05,Leave
380,284,2025-05-11,Present
382,714,2025-01-25,Present
384,429,2025-10-15,Present
385,1171,2025-12-30,Present
386,1175,2025-10-16,Leave
391,129,2025-05-07,Present
392,715,2025-05-24,Absent
395,604,2025-08-21,Absent
399,730,2025-06-10,Absent
400,86,2025-12-20,Leave
402,623,2025-08-11,Leave
404,4,2025-09-20,Leave
406,330,2025-11-28,Present
407,22,2025-01-30,Present
408,513,2025-02-25,Present
409,767,2025-09-30,Absent
412,753,2025-11-20,Absent
413,1312,2025-09-16,Leave
414,647,2025-10-24,Absent
415,1383,2025-03-20,Leave
417,307,2025-12-06,Leave
420,889,2025-02-03,Leave
422,847,2025-09-05,Absent
423,1162,2025-10-26,Leave
425,474,2025-04-05,Absent
426,1232,2025-03-20,Leave
427,893,2025-01-08,Absent
429,1412,2025-08-18,Absent
430,514,2025-12-25,Absent
431,823,2025-08-19,Present
433,1062,2025-01-21,Leave
437,539,2025-10-15,Leave
438,1380,2025-01-23,Present
440,580,2025-01-18,Leave
442,1237,2025-01-04,Leave
443,39,2025-11-15,Leave
446,1457,2025-12-21,Absent
448,321,2025-12-14,Present
451,73,2025-09-19,Present
452,443,2025-01-19,Leave
453,28,2025-03-30,Absent
456,1255,2025-08-07,Leave
458,66,2025-10-16,Absent
459,1494,2025-09-09,Absent
460,928,2025-09-17,Absent
461,1435,2025-03-31,Leave
465,1295,2025-05-02,Leave
467,388,2025-03-29,Leave
468,451,2025-08-13,Present
469,526,2025-01-11,Leave
470,1350,2025-04-09,Present
471,1218,2025-02-02,Present
473,740,2025-11-12,Absent
474,1055,2025-11-15,Present
475,1350,2025-12-10,Absent
476,1381,2025-07-05,Present
479,1313,2025-01-23,Present
480,281,2025-06-02,Leave
481,442,2025-09-09,Absent
482,1450,2025-04-11,Leave
485,708,2025-05-03,Absent
486,847,2025-01-23,Leave
489,999,2025-04-11,Leave
492,99,2025-05-19,Present
493,68,2025-12-28,Leave
495,1449,2025-09-28,Present
497,1144,2025-04-02,Leave
498,413,2025-08-06,Present
499,1192,2025-07-20,Leave
500,1275,2025-12-20,Leave
501,183,2025-07-28,Absent
502,722,2025-08-27,Leave
505,1033,2025-02-04,Absent
506,892,2025-08-12,Absent
507,1073,2025-02-20,Present
508,748,2025-06-18,Present
509,94,2025-04-06,Leave
510,315,2025-04-29,Present
512,468,2025-02-10,Absent
513,104,2025-04-08,Present
515,61,2025-07-16,Absent
516,1097,2025-08-29,Present
519,30,2025-10-07,Present
520,470,2025-09-19,Leave
521,1142,2025-08-21,Present
522,743,2025-09-01,Present
523,481,2025-10-25,Present
525,1357,2025-04-14,Absent
530,113,2025-04-18,Present
533,868,2025-05-30,Absent
535,823,2025-05-24,Present
536,704,2025-09-20,Leave
537,301,2025-01-12,Leave
539,763,2025-06-01,Leave
540,1152,2025-11-16,Absent
542,248,2025-09-29,Leave
548,1350,2025-11-24,Leave
550,897,2025-12-31,Present
551,629,2025-01-01,Leave
554,850,2025-08-07,Present
556,411,2025-05-10,Absent
557,873,2025-12-18,Absent
558,315,2025-08-03,Absent
563,1412,2025-01-23,Absent
564,965,2025-07-09,Present
565,471,2025-07-12,Absent
568,742,2025-01-28,Present
573,629,2025-03-19,Absent
580,290,2025-09-05,Leave
581,1194,2025-01-22,Leave
586,854,2025-12-29,Absent
587,125,2025-10-02,Absent
588,1383,2025-09-08,Absent
590,700,2025-06-10,Absent
594,1195,2025-04-19,Absent
595,197,2025-06-24,Absent
597,553,2025-12-15,Leave
599,1495,2025-02-10,Leave
605,18,2025-04-26,Present
606,464,2025-06-17,Absent
609,303,2025-07-11,Present
611,277,2025-08-28,Leave
614,1022,2025-03-18,Absent
619,200,2025-11-07,Present
621,640,2025-07-23,Present
625,153,2025-08-20,Present
627,294,2025-10-13,Leave
629,392,2025-05-29,Absent
630,1080,2025-04-30,Present
631,513,2025-08-04,Absent
632,353,2025-10-05,Absent
633,1286,2025-03-13,Leave
634,396,2025-01-25,Present
638,95,2025-04-01,Present
639,1392,2025-12-10,Absent
640,1321,2025-07-22,Absent
642,1069,2025-11-08,Present
644,1280,2025-06-01,Absent
645,954,2025-01-21,Leave
