leave_id,emp_id,leave_type,days,status
3,729,Sick,9,Approved
5,1063,Casual,5,Rejected
11,1445,Sick,7,Approved
16,1279,Sick,8,Pending
21,892,Earned,8,Pending
22,93,Sick,4,Pending
24,1344,Casual,6,Rejected
26,1032,Sick,3,Rejected
27,1487,Casual,6,Approved
28,884,Sick,10,Approved
29,1219,Sick,9,Approved
30,1460,Earned,6,Rejected
33,527,Earned,10,Rejected
34,27,Casual,4,Rejected
37,908,Earned,2,Pending
38,231,Earned,8,Rejected
41,299,Earned,4,Rejected
42,138,Casual,10,Pending
47,412,Earned,6,Approved
49,1073,Casual,7,Pending
50,615,Casual,5,Rejected
52,111,Sick,1,Approved
53,33,Sick,7,Rejected
54,693,Casual,1,Approved
55,360,Casual,3,Approved
56,1352,Sick,9,Rejected
57,1450,Sick,9,Pending
58,915,Earned,6,Pending
60,597,Earned,10,Pending
63,1434,Earned,7,Approved
66,311,Casual,9,Approved
68,1018,Earned,7,Rejected
69,963,Sick,9,Approved
70,724,Earned,3,Rejected
75,1140,Casual,9,Rejected
76,678,Earned,5,Rejected
78,1216,Sick,4,Pending
81,761,Sick,3,Approved
82,666,Earned,3,Approved
83,131,Casual,8,Pending
84,332,Sick,9,Rejected
89,388,Earned,2,Pending
91,1214,Sick,4,Pending
92,952,Sick,4,Approved
93,406,Casual,8,Approved
94,67,Casual,1,Rejected
96,190,Sick,9,Rejected
98,1296,Sick,9,Approved
99,92,Sick,9,Pending
100,1204,Sick,4,Pending
101,799,Sick,3,Approved
102,44,Casual,2,Pending
106,1247,Earned,10,Pending
107,299,Casual,7,Rejected
109,268,Earned,6,Rejected
110,882,Sick,1,Pending
112,208,Sick,10,Pending
113,1341,Earned,1,Rejected
114,454,Sick,7,Rejected
116,1481,Casual,5,Rejected
118,945,Earned,5,Pending
122,672,Earned,5,Pending
124,286,Casual,10,Approved
125,105,Casual,8,Pending
128,1037,Casual,2,Approved
129,1376,Sick,10,Rejected
131,173,Sick,9,Approved
136,1088,Casual,5,Pending
137,137,Sick,2,Approved
139,775,Sick,7,Pending
140,907,Casual,8,Approved
